case_name,inp_path,status,message,n_frames
cx_rand_00001_b113_r036_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00001_b113_r036_rep444.inp,SKIPPED,Result CSV already exists,
cx_rand_00002_b114_r038_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00002_b114_r038_rep444.inp,SKIPPED,Result CSV already exists,
cx_rand_00003_b065_r032_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00003_b065_r032_rep444.inp,SUCCESS,Finished,16
cx_rand_00004_b062_r035_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00004_b062_r035_rep444.inp,SUCCESS,Finished,16
cx_rand_00005_b070_r033_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00005_b070_r033_rep444.inp,SUCCESS,Finished,16
cx_rand_00006_b113_r033_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00006_b113_r033_rep444.inp,SUCCESS,Finished,16
cx_rand_00007_b066_r034_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00007_b066_r034_rep444.inp,SUCCESS,Finished,16
cx_rand_00008_b085_r035_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00008_b085_r035_rep444.inp,SUCCESS,Finished,16
cx_rand_00009_b117_r036_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00009_b117_r036_rep444.inp,SUCCESS,Finished,16
cx_rand_00010_b092_r037_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00010_b092_r037_rep444.inp,SUCCESS,Finished,16
cx_rand_00011_b102_r036_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00011_b102_r036_rep444.inp,SUCCESS,Finished,16
cx_rand_00012_b079_r038_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00012_b079_r038_rep444.inp,SUCCESS,Finished,16
cx_rand_00013_b101_r034_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00013_b101_r034_rep444.inp,SUCCESS,Finished,16
cx_rand_00014_b110_r040_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00014_b110_r040_rep444.inp,SUCCESS,Finished,16
cx_rand_00015_b061_r032_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00015_b061_r032_rep444.inp,SUCCESS,Finished,16
cx_rand_00016_b105_r038_rep444,D:\Simulation\Curved_Rod_Voxel_Model\Output\cx_rand_00016_b105_r038_rep444.inp,SUCCESS,Finished,16
