,radius,bendAmp,relative_density,n_fd_points,n_ss_points,final_displacement_mm,final_force_N,final_strain,final_stress_MPa,max_force_N,max_stress_MPa,initial_stiffness_N_per_mm,initial_modulus_MPa,energy_absorption_Nmm,energy_absorption_J,energy_density_MJ_per_m3,solid_density_g_cm3_for_SEA,mass_g,SEA_J_per_g,message
radius,1.0,0.5290085405389959,0.9646094709094968,,,,0.9806918925646442,,0.9806918925406987,0.9806918925646442,0.9806918925406987,0.9794295874494948,0.9794295874826285,0.9804223080785489,0.9804223080785489,0.9804223080381507,,0.9646094709094968,0.8824385978514846,
bendAmp,0.5290085405389959,1.0,0.7066935908592922,,,,0.4889909819350811,,0.4889909818082289,0.4889909819350811,0.4889909818082289,0.4585572890504833,0.45855728917750427,0.47894048755685165,0.47894048755685176,0.47894048743621237,,0.7066935908592922,0.13674364007061016,
relative_density,0.9646094709094968,0.7066935908592922,1.0,,,,0.9531554248864108,,0.9531554248240457,0.9531554248864108,0.9531554248240457,0.9431282408632299,0.9431282409443074,0.949960810233883,0.9499608102338829,0.9499608101837211,,1.0,0.7607721194188225,
n_fd_points,,,,,,,,,,,,,,,,,,,,
n_ss_points,,,,,,,,,,,,,,,,,,,,
final_displacement_mm,,,,,,,,,,,,,,,,,,,,
final_force_N,0.9806918925646442,0.4889909819350811,0.9531554248864108,,,,1.0,,0.9999999999999998,1.0,0.9999999999999998,0.9993303772595876,0.9993303772630668,0.9999260381487427,0.9999260381487427,0.9999260381474195,,0.9531554248864106,0.9155131030920084,
final_strain,,,,,,,,,,,,,,,,,,,,
final_stress_MPa,0.9806918925406987,0.4889909818082289,0.9531554248240457,,,,0.9999999999999998,,1.0,0.9999999999999998,1.0,0.9993303772660233,0.9993303772695027,0.9999260381508592,0.9999260381508593,0.9999260381495365,,0.9531554248240457,0.9155131031585767,
max_force_N,0.9806918925646442,0.4889909819350811,0.9531554248864108,,,,1.0,,0.9999999999999998,1.0,0.9999999999999998,0.9993303772595876,0.9993303772630668,0.9999260381487427,0.9999260381487427,0.9999260381474195,,0.9531554248864106,0.9155131030920084,
max_stress_MPa,0.9806918925406987,0.4889909818082289,0.9531554248240457,,,,0.9999999999999998,,1.0,0.9999999999999998,1.0,0.9993303772660233,0.9993303772695027,0.9999260381508592,0.9999260381508593,0.9999260381495365,,0.9531554248240457,0.9155131031585767,
initial_stiffness_N_per_mm,0.9794295874494948,0.4585572890504833,0.9431282408632299,,,,0.9993303772595876,,0.9993303772660233,0.9993303772595876,0.9993303772660233,1.0,1.0,0.9997014260258089,0.9997014260258088,0.9997014260284801,,0.9431282408632299,0.928187985948667,
initial_modulus_MPa,0.9794295874826285,0.45855728917750427,0.9431282409443074,,,,0.9993303772630668,,0.9993303772695027,0.9993303772630668,0.9993303772695027,1.0,1.0,0.9997014260280757,0.9997014260280759,0.9997014260307472,,0.9431282409443069,0.9281879858690024,
energy_absorption_Nmm,0.9804223080785489,0.47894048755685165,0.949960810233883,,,,0.9999260381487427,,0.9999260381508592,0.9999260381487427,0.9999260381508592,0.9997014260258089,0.9997014260280757,1.0,1.0,1.0,,0.949960810233883,0.919872898495293,
energy_absorption_J,0.9804223080785489,0.47894048755685176,0.9499608102338829,,,,0.9999260381487427,,0.9999260381508593,0.9999260381487427,0.9999260381508593,0.9997014260258088,0.9997014260280759,1.0,1.0,1.0,,0.9499608102338827,0.9198728984952929,
energy_density_MJ_per_m3,0.9804223080381507,0.47894048743621237,0.9499608101837211,,,,0.9999260381474195,,0.9999260381495365,0.9999260381474195,0.9999260381495365,0.9997014260284801,0.9997014260307472,1.0,1.0,1.0,,0.949960810183721,0.9198728985311425,
solid_density_g_cm3_for_SEA,,,,,,,,,,,,,,,,,,,,
mass_g,0.9646094709094968,0.7066935908592922,1.0,,,,0.9531554248864106,,0.9531554248240457,0.9531554248864106,0.9531554248240457,0.9431282408632299,0.9431282409443069,0.949960810233883,0.9499608102338827,0.949960810183721,,1.0,0.7607721194188225,
SEA_J_per_g,0.8824385978514846,0.13674364007061016,0.7607721194188225,,,,0.9155131030920084,,0.9155131031585767,0.9155131030920084,0.9155131031585767,0.928187985948667,0.9281879858690024,0.919872898495293,0.9198728984952929,0.9198728985311425,,0.7607721194188225,1.0,
message,,,,,,,,,,,,,,,,,,,,
