case_name,radius,bendAmp,relative_density,n_fd_points,n_ss_points,final_displacement_mm,final_force_N,final_strain,final_stress_MPa,max_force_N,max_stress_MPa,initial_stiffness_N_per_mm,initial_modulus_MPa,energy_absorption_Nmm,energy_absorption_J,energy_density_MJ_per_m3,solid_density_g_cm3_for_SEA,mass_g,SEA_J_per_g,status,message
cx_rand_00001_b113_r036_rep444,0.03575319804,0.1125833491,0.0314375,16,16,16,209.1514862,0.2,0.03267991971,209.1514862,0.03267991971,15.48605154,0.1935756443,1771.020282,1.771020282,0.003459023989,1,16.096,0.1100285961,OK,
cx_rand_00002_b114_r038_rep444,0.03848292044,0.1136763998,0.03725,16,16,16,307.3946554,0.2,0.0480304149,307.3946554,0.0480304149,22.73708351,0.2842135438,2601.834164,2.601834164,0.005081707352,1,19.072,0.1364216739,OK,
cx_rand_00003_b065_r032_rep444,0.03200102937,0.06510265268,0.02253125,16,16,16,141.9953838,0.2,0.02218677872,141.9953838,0.02218677872,10.84431774,0.1355539718,1214.988982,1.214988982,0.002373025356,1,11.536,0.1053215137,OK,
cx_rand_00004_b062_r035_rep444,0.03472099315,0.06234328699,0.02534375,16,16,16,195.5235837,0.2,0.03055055995,195.5235837,0.03055055995,14.98418449,0.1873023061,1675.097252,1.675097252,0.003271674321,1,12.976,0.1290919584,OK,
cx_rand_00005_b070_r033_rep444,0.03332080302,0.07018982517,0.02421875,16,16,16,152.4659061,0.2,0.02382279782,152.4659061,0.02382279782,11.56356329,0.1445445411,1301.584647,1.301584647,0.002542157514,1,12.4,0.1049665038,OK,
cx_rand_00006_b113_r033_rep444,0.03283104735,0.1126885502,0.02621875,16,16,16,143.4022853,0.2,0.02240660708,143.4022853,0.02240660708,10.61674677,0.1327093346,1214.106839,1.214106839,0.00237130242,1,13.424,0.09044300051,OK,
cx_rand_00007_b066_r034_rep444,0.0336763419,0.06590081003,0.0245,16,16,16,156.8554845,0.2,0.02450866946,156.8554845,0.02450866946,11.98435724,0.1498044655,1342.315965,1.342315965,0.00262171087,1,12.544,0.1070086069,OK,
cx_rand_00008_b085_r035_rep444,0.03511004654,0.0852664575,0.02709375,16,16,16,198.0593072,0.2,0.03094676676,198.0593072,0.03094676676,14.9861604,0.1873270049,1689.401908,1.689401908,0.003299613102,1,13.872,0.121785028,OK,
cx_rand_00009_b117_r036_rep444,0.03557090727,0.1174733718,0.031125,16,16,16,207.4691106,0.2,0.03241704853,207.4691106,0.03241704853,15.27438217,0.1909297772,1753.52925,1.75352925,0.003424861816,1,15.936,0.110035721,OK,
cx_rand_00010_b092_r037_rep444,0.03684935061,0.0919899171,0.03175,16,16,16,243.0394053,0.2,0.03797490708,243.0394053,0.03797490708,18.18538447,0.2273173058,2065.174465,2.065174465,0.004033543876,1,16.256,0.127040752,OK,
cx_rand_00011_b102_r036_rep444,0.03577275063,0.1015126268,0.03040625,16,16,16,219.7111855,0.2,0.03432987274,219.7111855,0.03432987274,16.39429035,0.2049286294,1865.133196,1.865133196,0.003642838273,1,15.568,0.1198055753,OK,
cx_rand_00012_b079_r038_rep444,0.0381669755,0.07893093786,0.03334375,16,16,16,280.4475196,0.2,0.04381992494,280.4475196,0.04381992494,21.19755108,0.2649693886,2391.004672,2.391004672,0.004669931,1,17.072,0.1400541631,OK,
cx_rand_00013_b101_r034_rep444,0.03384007025,0.1011900557,0.027125,16,16,16,168.7427312,0.2,0.02636605175,168.7427312,0.02636605175,12.59058748,0.1573823436,1432.345191,1.432345191,0.002797549202,1,13.888,0.1031354544,OK,
cx_rand_00014_b110_r040_rep444,0.03990305693,0.1100775403,0.03921875,16,16,16,361.0666209,0.2,0.05641665952,361.0666209,0.05641665952,26.7837557,0.3347969462,3059.193865,3.059193865,0.005974988018,1,20.08,0.1523502921,OK,
cx_rand_00015_b061_r032_rep444,0.03224648834,0.06109729664,0.022875,16,16,16,145.2359291,0.2,0.02269311393,145.2359291,0.02269311393,11.12085948,0.1390107435,1243.811283,1.243811283,0.002429318913,1,11.712,0.1061997339,OK,
cx_rand_00016_b105_r038_rep444,0.03803420759,0.1050086589,0.03534375,16,16,16,267.7138251,0.2,0.04183028517,267.7138251,0.04183028517,20.00279404,0.2500349255,2273.811604,2.273811604,0.004441038289,1,18.096,0.125652719,OK,
